skus_mktplc,lojista_mktplc
11695027,31188
11695027,31170
11695027,31149
11695027,31186
11695027,31148
11695027,31189
11695027,31185
11695027,31143
11710286,31186
11710286,31177
11710286,31173
11710286,31188
11710286,31172
11710286,31185
11710286,31189
11710286,31175
11710286,31181
11710286,31148
11710286,31149
11710286,31159
11710286,31168
11710286,31157
11716615,31188
11716615,31143
11716615,31157
11716615,31160
11716615,31185
11716615,31149
11716615,31177
11716615,31175
11716615,31151
11716615,31159
11716615,31181
11716615,31172
11716615,31170
11716615,31189
11716615,31173
11716615,31148
11716615,31162
11716615,31186
11716615,31168
11717686,31162
11717686,31170
11717686,31172
11717686,31168
11717686,31160
11717686,31149
11717686,31175
11717686,31148
11717686,31185
11717686,31173
11717686,31186
11717686,31151
11717686,31188
11717686,31159
11717686,31143
11717686,31181
11717686,31157
11717686,31177
11717686,31189
11721541,31160
11721541,31185
11721541,31168
11721541,31170
11721541,31157
11721541,31151
11721541,31173
11721541,31188
11721541,31189
11721541,31162
11721541,31159
11721541,31175
11721541,31172
11721541,31143
11721541,31149
11721541,31186
11721541,31181
11721541,31148
11721541,31177
11726820,31157
11726820,31175
11726820,31177
11726820,31170
11726820,31189
11726820,31188
11726820,31162
11726820,31149
11726820,31173
11726820,31151
11726820,31160
11726820,31181
11726820,31143
11726820,31185
11726820,31168
11726820,31172
11726820,31159
11726820,31148
11726833,31143
11726833,31177
11726833,31189
11726833,31172
11726833,31149
11726833,31186
11726833,31173
11726833,31170
11726833,31175
11726833,31148
11726833,31185
11726833,31168
11726833,31151
11726833,31157
11726833,31159
11726833,31160
11726833,31181
11726833,31162
11726833,31188
11727110,31168
11727110,31162
11727110,31159
11727110,31148
11727110,31160
11727110,31172
11727110,31177
11727110,31170
11727110,31181
11727110,31143
11727110,31151
11727110,31173
11727110,31189
11727110,31188
11727110,31185
11727110,31186
11727110,31157
11727110,31175
11727110,31149
11727749,31172
11727749,31157
11727749,31168
11727749,31185
11727749,31143
11727749,31173
11727749,31189
11727749,31148
